year,level_1,level_2,level_3,level_4,value
2015,Widowed,Males,Total,Jurong East,0.3
2015,Widowed,Males,Total,Jurong West,1.9
2015,Widowed,Males,Total,Kallang,1
2015,Widowed,Males,Total,Marine Parade,0.2
2015,Widowed,Males,Total,Novena,0.3
2015,Widowed,Males,Total,Outram,0.2
2015,Widowed,Males,Total,Pasir Ris,1
2015,Widowed,Males,Total,Punggol,0.6
2015,Widowed,Males,Total,Queenstown,1
2015,Widowed,Males,Total,Sembawang,0.3
2015,Widowed,Males,Total,Sengkang,1.1
2015,Widowed,Males,Total,Serangoon,0.8
2015,Widowed,Males,Total,Tampines,2
2015,Widowed,Males,Total,Tanglin,0.1
2015,Widowed,Males,Total,Toa Payoh,1.2
2015,Widowed,Males,Total,Woodlands,1.3
2015,Widowed,Males,Total,Yishun,1.7
2015,Widowed,Males,Total,Others,0.2
2015,Widowed,Females,Total,Ang Mo Kio,8.4
2015,Widowed,Females,Total,Bedok,12.7
2015,Widowed,Females,Total,Bishan,3.5
2015,Widowed,Females,Total,Bukit Batok,5.2
2015,Widowed,Females,Total,Bukit Merah,9.2
2015,Widowed,Females,Total,Bukit Panjang,3.8
2015,Widowed,Females,Total,Bukit Timah,1.5
2015,Widowed,Females,Total,Choa Chu Kang,5.1
2015,Widowed,Females,Total,Clementi,4.3
2015,Widowed,Females,Total,Geylang,5.5
2015,Widowed,Females,Total,Hougang,7.8
2015,Widowed,Females,Total,Jurong East,3.7
2015,Widowed,Females,Total,Jurong West,8.4
2015,Widowed,Females,Total,Kallang,5.2
2015,Widowed,Females,Total,Marine Parade,2.1
2015,Widowed,Females,Total,Novena,1.4
2015,Widowed,Females,Total,Outram,1.1
2015,Widowed,Females,Total,Pasir Ris,3.4
2015,Widowed,Females,Total,Punggol,2.3
2015,Widowed,Females,Total,Queenstown,5.7
2015,Widowed,Females,Total,Sembawang,2
2015,Widowed,Females,Total,Sengkang,4.8
2015,Widowed,Females,Total,Serangoon,5.6
2015,Widowed,Females,Total,Tampines,9.9
2015,Widowed,Females,Total,Tanglin,0.5
2015,Widowed,Females,Total,Toa Payoh,5.8
2015,Widowed,Females,Total,Woodlands,6.4
2015,Widowed,Females,Total,Yishun,6.7
2015,Widowed,Females,Total,Others,1.3
2015,Divorced/Separated,Total,Total,Ang Mo Kio,7.1
2015,Divorced/Separated,Total,Total,Bedok,9.2
2015,Divorced/Separated,Total,Total,Bishan,2.5
2015,Divorced/Separated,Total,Total,Bukit Batok,4.2
2015,Divorced/Separated,Total,Total,Bukit Merah,7
2015,Divorced/Separated,Total,Total,Bukit Panjang,2.9
2015,Divorced/Separated,Total,Total,Bukit Timah,1.1
2015,Divorced/Separated,Total,Total,Choa Chu Kang,4.2
2015,Divorced/Separated,Total,Total,Clementi,2.6
2015,Divorced/Separated,Total,Total,Geylang,5.2
2015,Divorced/Separated,Total,Total,Hougang,6.3
2015,Divorced/Separated,Total,Total,Jurong East,2.5
2015,Divorced/Separated,Total,Total,Jurong West,7.4
2015,Divorced/Separated,Total,Total,Kallang,4.1
2015,Divorced/Separated,Total,Total,Marine Parade,1.7
2015,Divorced/Separated,Total,Total,Novena,1.2
2015,Divorced/Separated,Total,Total,Outram,1
2015,Divorced/Separated,Total,Total,Pasir Ris,3.7
2015,Divorced/Separated,Total,Total,Punggol,3.5
2015,Divorced/Separated,Total,Total,Queenstown,4.1
2015,Divorced/Separated,Total,Total,Sembawang,2.1
2015,Divorced/Separated,Total,Total,Sengkang,5.6
2015,Divorced/Separated,Total,Total,Serangoon,3.5
2015,Divorced/Separated,Total,Total,Tampines,8.2
2015,Divorced/Separated,Total,Total,Tanglin,0.5
2015,Divorced/Separated,Total,Total,Toa Payoh,5.2
2015,Divorced/Separated,Total,Total,Woodlands,7.7
2015,Divorced/Separated,Total,Total,Yishun,8.3
2015,Divorced/Separated,Total,Total,Others,1.1
2015,Divorced/Separated,Males,Total,Ang Mo Kio,2.7
2015,Divorced/Separated,Males,Total,Bedok,3.5
2015,Divorced/Separated,Males,Total,Bishan,0.6
2015,Divorced/Separated,Males,Total,Bukit Batok,1.4
2015,Divorced/Separated,Males,Total,Bukit Merah,2.5
2015,Divorced/Separated,Males,Total,Bukit Panjang,1
2015,Divorced/Separated,Males,Total,Bukit Timah,0.4
2015,Divorced/Separated,Males,Total,Choa Chu Kang,1.2
2015,Divorced/Separated,Males,Total,Clementi,1.2
2015,Divorced/Separated,Males,Total,Geylang,2.2
2015,Divorced/Separated,Males,Total,Hougang,1.9
2015,Divorced/Separated,Males,Total,Jurong East,1.2
2015,Divorced/Separated,Males,Total,Jurong West,2.7
2015,Divorced/Separated,Males,Total,Kallang,1.7
2015,Divorced/Separated,Males,Total,Marine Parade,0.5
